Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
LAMPUNG,WAY KANAN,1807,L,"10,944",143,"4,340",269,"2,082",85,50
LAMPUNG,TULANGBAWANG,1808,P,"8,870",286,"3,661",247,"1,575",85,128
LAMPUNG,TULANGBAWANG,1808,L,"9,769",322,"3,763",217,"1,640",78,75
LAMPUNG,PESAWARAN,1809,P,"12,916",456,"5,416",763,"2,527",226,189
LAMPUNG,PESAWARAN,1809,L,"14,126",516,"5,567",681,"2,568",172,127
LAMPUNG,PRINGSEWU,1810,P,"7,402",184,"3,548",212,"1,872",49,110
LAMPUNG,PRINGSEWU,1810,L,"8,298",192,"3,670",236,"1,727",36,54
LAMPUNG,MESUJI,1811,P,"4,396",66,"1,586",107,624,21,32
LAMPUNG,MESUJI,1811,L,"4,634",58,"1,666",79,639,21,44
LAMPUNG,TULANG BAWANG BARAT,1812,P,"4,711",67,"1,881",76,585,40,30
LAMPUNG,TULANG BAWANG BARAT,1812,L,"5,087",74,"1,825",64,558,29,29
LAMPUNG,PESISIR BARAT,1813,P,"5,434",75,"2,196",136,"1,356",55,35
LAMPUNG,PESISIR BARAT,1813,L,"6,001",84,"2,240",147,"1,354",47,29
LAMPUNG,KOTA BANDAR LAMPUNG,1871,P,"18,859",222,"9,589",118,"6,624",29,897
LAMPUNG,KOTA BANDAR LAMPUNG,1871,L,"20,739",267,"9,919",150,"6,265",26,562
LAMPUNG,KOTA METRO,1872,P,"1,732",8,902,1,649,1,187
LAMPUNG,KOTA METRO,1872,L,"1,869",9,941,2,623,0,85
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,P,"2,794",84,"1,127",237,702,74,94
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,L,"3,284",75,"1,058",205,605,55,57
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,P,"1,350",3,655,2,389,5,23
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,L,"1,495",4,659,4,380,4,29
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,P,"1,798",13,521,69,210,15,13
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,L,"1,839",11,503,44,197,13,10
